name,email,phone,date,score,department,salary
Shreyash,shreyash@example.com,9876543210,2026-01-03,85.0,Engineering,72000
Aman,aman123@example.com,9123456789,2026-01-05,78.0,Sales,54000
Riya,riya@@gmail.com,98765,2026-13-01,92.0,Engineering,81000
Karan,karan@example.com,9999999999,,88.0,Marketing,61000
Neha,neha.gmail.com,9888888888,2026-02-30,95.0,Engineering,0
Rahul,rahul@gmail.com,98765432,2026-01-11,67.0,Support,43000
Shreyash,shreyash@example.com,9876543210,2026-01-03,85.0,Engineering,72000
Ishita,ishita@example.com,9876501234,2026-01-15,,Finance,69000
Manav,manav@example,9988776655,2026-01-17,73.0,Sales,56000
Priya,priya@example.com,9876541200,2026-01-19,101.0,Engineering,83000
